Ozone,Temperature,Flowrate,TimeStamp
0.028349,+30.216,4.4999,07/08/2020 10:30:00.268
0.029008,+30.218,4.4999,07/08/2020 10:30:00.364
0.023867,+30.218,4.4999,07/08/2020 10:30:00.460
0.026106,+30.218,4.5093,07/08/2020 10:30:00.556
0.026383,+30.217,4.5093,07/08/2020 10:30:00.667
0.026658,+30.217,4.5093,07/08/2020 10:30:00.764
0.028612,+30.217,4.5079,07/08/2020 10:30:00.859
0.028061,+30.217,4.5079,07/08/2020 10:30:00.956
0.029688,+30.217,4.5079,07/08/2020 10:30:01.081
0.028349,+30.217,4.5064,07/08/2020 10:30:01.163
0.028336,+30.218,4.5064,07/08/2020 10:30:01.259
0.027583,+30.218,4.5064,07/08/2020 10:30:01.356
0.027971,+30.218,4.5008,07/08/2020 10:30:01.467
0.029473,+30.217,4.5008,07/08/2020 10:30:01.563
0.027979,+30.217,4.5008,07/08/2020 10:30:01.659
0.025241,+30.217,4.5001,07/08/2020 10:30:01.755
0.026104,+30.218,4.5001,07/08/2020 10:30:01.867
0.027165,+30.218,4.5001,07/08/2020 10:30:01.963
0.027042,+30.218,4.4988,07/08/2020 10:30:02.059
0.026905,+30.218,4.4988,07/08/2020 10:30:02.156
0.029074,+30.218,4.4988,07/08/2020 10:30:02.267
0.026002,+30.218,4.4934,07/08/2020 10:30:02.363
0.026407,+30.217,4.4934,07/08/2020 10:30:02.460
0.026461,+30.217,4.4934,07/08/2020 10:30:02.555
0.028047,+30.217,4.4971,07/08/2020 10:30:02.667
0.026119,+30.218,4.4971,07/08/2020 10:30:02.763
0.024432,+30.218,4.4971,07/08/2020 10:30:02.859
0.026896,+30.218,4.4991,07/08/2020 10:30:02.955
0.029512,+30.218,4.4991,07/08/2020 10:30:03.067
0.030498,+30.218,4.4991,07/08/2020 10:30:03.163
0.023969,+30.218,4.5054,07/08/2020 10:30:03.259
0.030078,+30.217,4.5054,07/08/2020 10:30:03.355
0.025926,+30.217,4.5054,07/08/2020 10:30:03.467
0.027753,+30.217,4.5052,07/08/2020 10:30:03.563
0.025355,+30.216,4.5052,07/08/2020 10:30:03.662
0.027981,+30.216,4.5052,07/08/2020 10:30:03.771
0.023662,+30.216,4.5003,07/08/2020 10:30:03.867
0.027664,+30.218,4.5003,07/08/2020 10:30:03.963
0.025860,+30.218,4.5003,07/08/2020 10:30:04.058
0.027878,+30.218,4.4929,07/08/2020 10:30:04.155
0.024984,+30.217,4.4929,07/08/2020 10:30:04.267
0.030362,+30.217,4.4929,07/08/2020 10:30:04.363
0.025172,+30.217,4.4946,07/08/2020 10:30:04.459
0.025294,+30.217,4.4946,07/08/2020 10:30:04.554
0.025230,+30.217,4.4946,07/08/2020 10:30:04.668
0.026831,+30.217,4.4975,07/08/2020 10:30:04.763
0.027731,+30.217,4.4975,07/08/2020 10:30:04.859
0.025798,+30.217,4.4975,07/08/2020 10:30:04.970
0.025465,+30.217,4.4989,07/08/2020 10:30:05.067
0.026280,+30.218,4.4989,07/08/2020 10:30:05.163
0.028829,+30.218,4.4989,07/08/2020 10:30:05.258
0.028675,+30.218,4.5005,07/08/2020 10:30:05.355
0.028601,+30.218,4.5005,07/08/2020 10:30:05.467
0.026873,+30.218,4.5005,07/08/2020 10:30:05.562
0.025355,+30.218,4.5038,07/08/2020 10:30:05.659
0.024030,+30.217,4.5038,07/08/2020 10:30:05.771
0.027206,+30.217,4.5038,07/08/2020 10:30:05.866
0.024911,+30.217,4.5022,07/08/2020 10:30:05.962
0.025508,+30.217,4.5022,07/08/2020 10:30:06.059
0.027796,+30.217,4.5022,07/08/2020 10:30:06.171
0.027209,+30.217,4.5090,07/08/2020 10:30:06.266
0.027604,+30.218,4.5090,07/08/2020 10:30:06.362
0.026933,+30.218,4.5090,07/08/2020 10:30:06.458
0.025784,+30.218,4.4994,07/08/2020 10:30:06.570
0.025996,+30.217,4.4994,07/08/2020 10:30:06.667
0.028674,+30.217,4.4994,07/08/2020 10:30:06.762
0.028313,+30.217,4.4958,07/08/2020 10:30:06.858
0.025535,+30.217,4.4958,07/08/2020 10:30:06.970
0.027160,+30.217,4.4958,07/08/2020 10:30:07.066
0.030483,+30.217,4.5026,07/08/2020 10:30:07.163
0.026329,+30.218,4.5026,07/08/2020 10:30:07.258
0.027222,+30.218,4.5026,07/08/2020 10:30:07.371
0.025053,+30.218,4.4897,07/08/2020 10:30:07.466
0.024207,+30.217,4.4897,07/08/2020 10:30:07.562
0.029438,+30.217,4.4897,07/08/2020 10:30:07.658
0.025944,+30.217,4.5015,07/08/2020 10:30:07.771
0.026751,+30.218,4.5015,07/08/2020 10:30:07.867
0.025590,+30.218,4.5015,07/08/2020 10:30:07.962
0.027430,+30.218,4.5034,07/08/2020 10:30:08.058
0.027786,+30.218,4.5034,07/08/2020 10:30:08.170
0.024757,+30.218,4.5034,07/08/2020 10:30:08.266
0.025457,+30.218,4.5021,07/08/2020 10:30:08.362
0.026230,+30.217,4.5021,07/08/2020 10:30:08.458
0.027074,+30.217,4.5021,07/08/2020 10:30:08.569
0.024043,+30.217,4.5049,07/08/2020 10:30:08.665
0.027295,+30.217,4.5049,07/08/2020 10:30:08.762
0.025024,+30.217,4.5049,07/08/2020 10:30:08.858
0.028471,+30.217,4.5038,07/08/2020 10:30:08.969
0.027008,+30.217,4.5038,07/08/2020 10:30:09.066
0.031306,+30.217,4.5038,07/08/2020 10:30:09.162
0.026132,+30.217,4.4933,07/08/2020 10:30:09.258
0.029449,+30.217,4.4933,07/08/2020 10:30:09.370
0.028160,+30.217,4.4933,07/08/2020 10:30:09.465
0.029460,+30.217,4.4938,07/08/2020 10:30:09.562
0.029778,+30.218,4.4938,07/08/2020 10:30:09.658
0.028516,+30.218,4.4938,07/08/2020 10:30:09.770
0.027028,+30.218,4.4972,07/08/2020 10:30:09.866
0.026296,+30.218,4.4972,07/08/2020 10:30:09.962
0.029393,+30.218,4.4972,07/08/2020 10:30:10.058
0.027011,+30.218,4.5047,07/08/2020 10:30:10.170
0.028376,+30.218,4.5047,07/08/2020 10:30:10.266
0.028044,+30.218,4.5047,07/08/2020 10:30:10.362
0.027076,+30.218,4.5042,07/08/2020 10:30:10.457
0.026862,+30.218,4.5042,07/08/2020 10:30:10.569
0.027861,+30.218,4.5042,07/08/2020 10:30:10.666
0.027443,+30.218,4.5082,07/08/2020 10:30:10.761
0.028518,+30.217,4.5082,07/08/2020 10:30:10.858
0.031025,+30.217,4.5082,07/08/2020 10:30:10.970
0.024597,+30.217,4.5048,07/08/2020 10:30:11.066
0.025302,+30.218,4.5048,07/08/2020 10:30:11.162
0.028611,+30.218,4.5048,07/08/2020 10:30:11.273
0.027416,+30.218,4.4973,07/08/2020 10:30:11.370
0.027349,+30.218,4.4973,07/08/2020 10:30:11.465
0.028699,+30.218,4.4973,07/08/2020 10:30:11.562
0.023750,+30.218,4.4966,07/08/2020 10:30:11.657
0.026148,+30.219,4.4966,07/08/2020 10:30:11.769
0.029307,+30.219,4.4966,07/08/2020 10:30:11.865
0.026370,+30.219,4.5017,07/08/2020 10:30:11.961
0.026278,+30.217,4.5017,07/08/2020 10:30:12.057
0.030280,+30.217,4.5017,07/08/2020 10:30:12.169
0.028842,+30.217,4.4984,07/08/2020 10:30:12.265
0.027289,+30.218,4.4984,07/08/2020 10:30:12.361
0.027952,+30.218,4.4984,07/08/2020 10:30:12.473
0.030027,+30.218,4.5007,07/08/2020 10:30:12.569
0.024674,+30.218,4.5007,07/08/2020 10:30:12.665
0.026307,+30.218,4.5007,07/08/2020 10:30:12.761
0.026681,+30.218,4.4968,07/08/2020 10:30:12.858
0.025427,+30.219,4.4968,07/08/2020 10:30:12.969
0.025551,+30.219,4.4968,07/08/2020 10:30:13.065
0.025362,+30.219,4.5101,07/08/2020 10:30:13.161
0.025182,+30.217,4.5101,07/08/2020 10:30:13.273
0.026448,+30.217,4.5101,07/08/2020 10:30:13.369
0.028762,+30.217,4.5044,07/08/2020 10:30:13.465
0.029855,+30.218,4.5044,07/08/2020 10:30:13.561
0.028453,+30.218,4.5044,07/08/2020 10:30:13.673
0.026886,+30.218,4.5007,07/08/2020 10:30:13.770
0.027481,+30.217,4.5007,07/08/2020 10:30:13.865
0.026031,+30.217,4.5007,07/08/2020 10:30:13.960
0.028073,+30.217,4.5054,07/08/2020 10:30:14.072
0.024701,+30.218,4.5054,07/08/2020 10:30:14.169
0.026866,+30.218,4.5054,07/08/2020 10:30:14.265
0.026282,+30.218,4.4997,07/08/2020 10:30:14.361
0.028181,+30.218,4.4997,07/08/2020 10:30:14.473
0.025914,+30.218,4.4997,07/08/2020 10:30:14.568
0.030100,+30.218,4.4865,07/08/2020 10:30:14.665
0.024970,+30.219,4.4865,07/08/2020 10:30:14.761
0.027919,+30.219,4.4865,07/08/2020 10:30:14.872
0.027267,+30.219,4.4929,07/08/2020 10:30:14.969
0.026761,+30.217,4.4929,07/08/2020 10:30:15.064
0.023282,+30.217,4.4929,07/08/2020 10:30:15.161
0.024983,+30.217,4.5008,07/08/2020 10:30:15.273
0.024089,+30.218,4.5008,07/08/2020 10:30:15.369
0.028057,+30.218,4.5008,07/08/2020 10:30:15.465
0.028483,+30.218,4.5047,07/08/2020 10:30:15.561
0.029028,+30.218,4.5047,07/08/2020 10:30:15.673
0.026177,+30.218,4.5047,07/08/2020 10:30:15.768
0.024606,+30.218,4.5091,07/08/2020 10:30:15.864
0.028831,+30.218,4.5091,07/08/2020 10:30:15.961
0.025751,+30.218,4.5091,07/08/2020 10:30:16.072
0.027727,+30.218,4.4990,07/08/2020 10:30:16.168
0.026982,+30.218,4.4990,07/08/2020 10:30:16.264
0.028221,+30.218,4.4990,07/08/2020 10:30:16.361
0.028170,+30.218,4.4993,07/08/2020 10:30:16.473
0.026990,+30.218,4.4993,07/08/2020 10:30:16.569
0.025805,+30.218,4.4993,07/08/2020 10:30:16.665
0.025385,+30.218,4.4948,07/08/2020 10:30:16.760
0.026624,+30.218,4.4948,07/08/2020 10:30:16.873
0.028247,+30.218,4.4948,07/08/2020 10:30:16.969
0.024754,+30.218,4.4900,07/08/2020 10:30:17.064
0.025084,+30.218,4.4900,07/08/2020 10:30:17.161
0.026958,+30.218,4.4900,07/08/2020 10:30:17.272
0.025565,+30.218,4.5007,07/08/2020 10:30:17.368
0.027720,+30.219,4.5007,07/08/2020 10:30:17.464
0.026169,+30.219,4.5007,07/08/2020 10:30:17.560
0.024408,+30.219,4.4944,07/08/2020 10:30:17.673
0.026300,+30.218,4.4944,07/08/2020 10:30:17.768
0.026673,+30.218,4.4944,07/08/2020 10:30:17.864
0.026955,+30.218,4.5066,07/08/2020 10:30:17.960
0.027561,+30.218,4.5066,07/08/2020 10:30:18.072
0.027213,+30.218,4.5066,07/08/2020 10:30:18.169
0.026566,+30.218,4.5062,07/08/2020 10:30:18.264
0.025208,+30.218,4.5062,07/08/2020 10:30:18.360
0.028618,+30.218,4.5062,07/08/2020 10:30:18.472
