Ozone,Temperature,Flowrate,TimeStamp
0.010098,+30.978,4.4919,07/08/2020 09:00:00.291
0.009338,+30.978,4.4919,07/08/2020 09:00:00.387
0.010263,+30.978,4.4923,07/08/2020 09:00:00.483
0.010919,+30.979,4.4923,07/08/2020 09:00:00.595
0.009756,+30.979,4.4923,07/08/2020 09:00:00.691
0.009545,+30.979,4.4890,07/08/2020 09:00:00.787
0.010163,+30.978,4.4890,07/08/2020 09:00:00.883
0.009906,+30.978,4.4890,07/08/2020 09:00:00.995
0.009871,+30.978,4.4933,07/08/2020 09:00:01.091
0.010113,+30.978,4.4933,07/08/2020 09:00:01.187
0.010030,+30.978,4.4933,07/08/2020 09:00:01.283
0.009829,+30.978,4.4902,07/08/2020 09:00:01.395
0.010290,+30.978,4.4902,07/08/2020 09:00:01.490
0.010203,+30.978,4.4902,07/08/2020 09:00:01.587
0.009219,+30.978,4.5014,07/08/2020 09:00:01.683
0.009583,+30.977,4.5014,07/08/2020 09:00:01.795
0.011603,+30.977,4.5014,07/08/2020 09:00:01.891
0.011100,+30.977,4.5010,07/08/2020 09:00:01.986
0.010855,+30.978,4.5010,07/08/2020 09:00:02.083
0.011178,+30.978,4.5010,07/08/2020 09:00:02.195
0.010808,+30.978,4.4971,07/08/2020 09:00:02.291
0.010894,+30.977,4.4971,07/08/2020 09:00:02.387
0.009656,+30.977,4.4971,07/08/2020 09:00:02.499
0.009102,+30.977,4.4894,07/08/2020 09:00:02.595
0.009844,+30.977,4.4894,07/08/2020 09:00:02.691
0.010024,+30.977,4.4894,07/08/2020 09:00:02.786
0.009244,+30.977,4.4896,07/08/2020 09:00:02.882
0.009826,+30.977,4.4896,07/08/2020 09:00:02.994
0.010084,+30.977,4.4896,07/08/2020 09:00:03.090
0.010113,+30.977,4.4873,07/08/2020 09:00:03.186
0.010428,+30.977,4.4873,07/08/2020 09:00:03.282
0.009420,+30.977,4.4873,07/08/2020 09:00:03.395
0.009411,+30.977,4.4838,07/08/2020 09:00:03.490
0.010278,+30.977,4.4838,07/08/2020 09:00:03.587
0.009296,+30.977,4.4838,07/08/2020 09:00:03.699
0.009724,+30.977,4.4899,07/08/2020 09:00:03.794
0.008934,+30.976,4.4899,07/08/2020 09:00:03.891
0.009305,+30.976,4.4899,07/08/2020 09:00:03.987
0.009996,+30.976,4.4921,07/08/2020 09:00:04.083
0.009061,+30.976,4.4921,07/08/2020 09:00:04.194
0.010474,+30.976,4.4921,07/08/2020 09:00:04.290
0.010699,+30.976,4.4953,07/08/2020 09:00:04.386
0.009293,+30.976,4.4953,07/08/2020 09:00:04.498
0.010877,+30.976,4.4953,07/08/2020 09:00:04.594
0.008596,+30.976,4.4925,07/08/2020 09:00:04.690
0.009268,+30.976,4.4925,07/08/2020 09:00:04.786
0.009577,+30.976,4.4925,07/08/2020 09:00:04.898
0.011614,+30.976,4.4944,07/08/2020 09:00:04.994
0.009675,+30.974,4.4944,07/08/2020 09:00:05.090
0.010368,+30.974,4.4944,07/08/2020 09:00:05.186
0.008677,+30.974,4.4964,07/08/2020 09:00:05.297
0.009330,+30.975,4.4964,07/08/2020 09:00:05.394
0.011261,+30.975,4.4964,07/08/2020 09:00:05.490
0.009536,+30.975,4.4967,07/08/2020 09:00:05.586
0.009727,+30.976,4.4967,07/08/2020 09:00:05.698
0.011042,+30.976,4.4967,07/08/2020 09:00:05.794
0.009723,+30.976,4.4908,07/08/2020 09:00:05.890
0.009894,+30.975,4.4908,07/08/2020 09:00:05.986
0.009708,+30.975,4.4908,07/08/2020 09:00:06.098
0.009864,+30.975,4.4859,07/08/2020 09:00:06.194
0.010243,+30.973,4.4859,07/08/2020 09:00:06.290
0.009886,+30.973,4.4859,07/08/2020 09:00:06.386
0.010089,+30.973,4.4864,07/08/2020 09:00:06.498
0.009528,+30.975,4.4864,07/08/2020 09:00:06.594
0.010635,+30.975,4.4864,07/08/2020 09:00:06.690
0.010234,+30.975,4.4860,07/08/2020 09:00:06.786
0.008787,+30.973,4.4860,07/08/2020 09:00:06.898
0.010123,+30.973,4.4860,07/08/2020 09:00:06.993
0.010128,+30.973,4.4896,07/08/2020 09:00:07.090
0.008166,+30.972,4.4896,07/08/2020 09:00:07.186
0.009411,+30.972,4.4896,07/08/2020 09:00:07.300
0.009757,+30.972,4.4930,07/08/2020 09:00:07.394
0.009278,+30.972,4.4930,07/08/2020 09:00:07.490
0.008769,+30.972,4.4930,07/08/2020 09:00:07.586
0.010612,+30.972,4.4897,07/08/2020 09:00:07.697
0.009884,+30.972,4.4897,07/08/2020 09:00:07.794
0.010463,+30.972,4.4897,07/08/2020 09:00:07.890
0.009708,+30.972,4.5016,07/08/2020 09:00:07.986
0.010491,+30.972,4.5016,07/08/2020 09:00:08.097
0.010322,+30.972,4.5016,07/08/2020 09:00:08.194
0.009645,+30.972,4.4991,07/08/2020 09:00:08.289
0.010365,+30.971,4.4991,07/08/2020 09:00:08.386
0.009872,+30.971,4.4991,07/08/2020 09:00:08.498
0.008919,+30.971,4.4961,07/08/2020 09:00:08.594
0.009916,+30.972,4.4961,07/08/2020 09:00:08.689
0.009031,+30.972,4.4961,07/08/2020 09:00:08.786
0.009385,+30.972,4.4972,07/08/2020 09:00:08.897
