Ozone,Temperature,Flowrate,TimeStamp
0.005595,+29.824,4.5136,07/08/2020 12:00:00.240
0.005134,+29.824,4.5125,07/08/2020 12:00:00.337
0.005102,+29.824,4.5125,07/08/2020 12:00:00.432
0.005614,+29.824,4.5125,07/08/2020 12:00:00.529
0.005367,+29.824,4.5132,07/08/2020 12:00:00.625
0.005648,+29.823,4.5132,07/08/2020 12:00:00.736
0.004515,+29.823,4.5132,07/08/2020 12:00:00.832
0.005295,+29.823,4.5140,07/08/2020 12:00:00.928
0.005718,+29.825,4.5140,07/08/2020 12:00:01.040
0.004912,+29.825,4.5140,07/08/2020 12:00:01.136
0.005430,+29.825,4.5130,07/08/2020 12:00:01.232
0.005291,+29.824,4.5130,07/08/2020 12:00:01.328
0.005990,+29.824,4.5130,07/08/2020 12:00:01.441
0.005470,+29.824,4.5119,07/08/2020 12:00:01.536
0.005286,+29.823,4.5119,07/08/2020 12:00:01.632
0.005737,+29.823,4.5119,07/08/2020 12:00:01.728
0.005222,+29.823,4.5091,07/08/2020 12:00:01.840
0.005633,+29.822,4.5091,07/08/2020 12:00:01.936
0.005051,+29.822,4.5091,07/08/2020 12:00:02.032
0.005733,+29.822,4.5082,07/08/2020 12:00:02.128
0.006083,+29.822,4.5082,07/08/2020 12:00:02.240
0.004973,+29.822,4.5082,07/08/2020 12:00:02.336
0.005402,+29.822,4.5063,07/08/2020 12:00:02.432
0.005031,+29.824,4.5063,07/08/2020 12:00:02.528
0.006252,+29.824,4.5063,07/08/2020 12:00:02.640
0.005688,+29.824,4.5101,07/08/2020 12:00:02.736
0.005196,+29.824,4.5101,07/08/2020 12:00:02.832
0.004982,+29.824,4.5101,07/08/2020 12:00:02.928
0.006105,+29.824,4.5163,07/08/2020 12:00:03.039
0.005603,+29.822,4.5163,07/08/2020 12:00:03.136
0.005445,+29.822,4.5163,07/08/2020 12:00:03.232
0.005543,+29.822,4.5160,07/08/2020 12:00:03.328
0.005343,+29.823,4.5160,07/08/2020 12:00:03.440
0.005325,+29.823,4.5160,07/08/2020 12:00:03.535
0.005409,+29.823,4.5122,07/08/2020 12:00:03.632
0.005192,+29.822,4.5122,07/08/2020 12:00:03.728
0.005199,+29.822,4.5122,07/08/2020 12:00:03.840
0.005107,+29.822,4.5088,07/08/2020 12:00:03.936
0.005857,+29.823,4.5088,07/08/2020 12:00:04.032
0.005676,+29.823,4.5088,07/08/2020 12:00:04.128
0.005502,+29.823,4.5083,07/08/2020 12:00:04.239
0.005212,+29.824,4.5083,07/08/2020 12:00:04.336
0.005094,+29.824,4.5083,07/08/2020 12:00:04.432
0.005538,+29.824,4.5068,07/08/2020 12:00:04.527
0.005528,+29.822,4.5068,07/08/2020 12:00:04.640
0.005613,+29.822,4.5068,07/08/2020 12:00:04.735
0.004904,+29.822,4.5049,07/08/2020 12:00:04.831
0.005592,+29.822,4.5049,07/08/2020 12:00:04.927
0.005057,+29.822,4.5049,07/08/2020 12:00:05.039
0.005736,+29.822,4.5064,07/08/2020 12:00:05.136
0.005147,+29.822,4.5064,07/08/2020 12:00:05.231
0.005766,+29.822,4.5064,07/08/2020 12:00:05.327
0.006282,+29.822,4.5153,07/08/2020 12:00:05.439
0.005595,+29.823,4.5153,07/08/2020 12:00:05.535
0.004457,+29.823,4.5153,07/08/2020 12:00:05.631
0.005506,+29.823,4.5177,07/08/2020 12:00:05.728
0.004885,+29.822,4.5177,07/08/2020 12:00:05.840
0.005433,+29.822,4.5177,07/08/2020 12:00:05.936
0.005195,+29.822,4.5174,07/08/2020 12:00:06.031
0.005593,+29.822,4.5174,07/08/2020 12:00:06.128
0.005116,+29.822,4.5174,07/08/2020 12:00:06.240
0.005629,+29.822,4.5151,07/08/2020 12:00:06.335
0.005124,+29.821,4.5151,07/08/2020 12:00:06.431
0.005711,+29.821,4.5151,07/08/2020 12:00:06.543
0.005197,+29.821,4.5107,07/08/2020 12:00:06.639
0.005570,+29.822,4.5107,07/08/2020 12:00:06.735
0.005598,+29.822,4.5107,07/08/2020 12:00:06.831
0.005355,+29.822,4.5025,07/08/2020 12:00:06.928
0.005482,+29.822,4.5025,07/08/2020 12:00:07.039
0.004800,+29.822,4.5025,07/08/2020 12:00:07.135
0.005791,+29.822,4.5041,07/08/2020 12:00:07.231
0.005509,+29.821,4.5041,07/08/2020 12:00:07.328
0.005962,+29.821,4.5041,07/08/2020 12:00:07.439
0.005606,+29.821,4.5111,07/08/2020 12:00:07.535
0.005620,+29.821,4.5111,07/08/2020 12:00:07.631
0.006261,+29.821,4.5111,07/08/2020 12:00:07.743
0.005297,+29.821,4.5104,07/08/2020 12:00:07.839
0.005412,+29.821,4.5104,07/08/2020 12:00:07.935
0.005606,+29.821,4.5104,07/08/2020 12:00:08.031
0.004934,+29.821,4.5145,07/08/2020 12:00:08.127
0.005522,+29.821,4.5145,07/08/2020 12:00:08.239
0.004825,+29.821,4.5145,07/08/2020 12:00:08.335
0.005022,+29.821,4.5184,07/08/2020 12:00:08.431
0.004867,+29.821,4.5184,07/08/2020 12:00:08.542
0.004622,+29.821,4.5184,07/08/2020 12:00:08.638
0.005275,+29.821,4.5130,07/08/2020 12:00:08.735
0.005750,+29.822,4.5130,07/08/2020 12:00:08.831
0.005763,+29.822,4.5130,07/08/2020 12:00:08.943
0.005627,+29.822,4.5167,07/08/2020 12:00:09.039
0.005138,+29.822,4.5167,07/08/2020 12:00:09.135
0.005099,+29.822,4.5167,07/08/2020 12:00:09.231
0.005682,+29.822,4.5126,07/08/2020 12:00:09.342
0.006157,+29.821,4.5126,07/08/2020 12:00:09.439
0.005360,+29.821,4.5126,07/08/2020 12:00:09.534
0.005443,+29.821,4.5094,07/08/2020 12:00:09.630
0.004893,+29.821,4.5094,07/08/2020 12:00:09.742
0.005749,+29.821,4.5094,07/08/2020 12:00:09.839
0.005281,+29.821,4.5071,07/08/2020 12:00:09.935
0.004964,+29.822,4.5071,07/08/2020 12:00:10.031
0.005455,+29.822,4.5071,07/08/2020 12:00:10.142
0.005402,+29.822,4.5080,07/08/2020 12:00:10.238
0.005214,+29.821,4.5080,07/08/2020 12:00:10.335
0.005966,+29.821,4.5080,07/08/2020 12:00:10.431
0.006057,+29.821,4.5089,07/08/2020 12:00:10.542
0.004936,+29.821,4.5089,07/08/2020 12:00:10.639
0.005168,+29.821,4.5089,07/08/2020 12:00:10.734
0.005344,+29.821,4.5078,07/08/2020 12:00:10.830
0.004377,+29.821,4.5078,07/08/2020 12:00:10.942
0.005235,+29.821,4.5078,07/08/2020 12:00:11.039
0.005487,+29.821,4.5137,07/08/2020 12:00:11.135
0.005703,+29.821,4.5137,07/08/2020 12:00:11.230
0.005465,+29.821,4.5137,07/08/2020 12:00:11.342
0.005975,+29.821,4.5172,07/08/2020 12:00:11.439
0.005531,+29.821,4.5172,07/08/2020 12:00:11.534
0.005747,+29.821,4.5172,07/08/2020 12:00:11.631
0.005018,+29.821,4.5142,07/08/2020 12:00:11.743
0.005843,+29.820,4.5142,07/08/2020 12:00:11.838
0.005600,+29.820,4.5142,07/08/2020 12:00:11.934
0.005788,+29.820,4.5028,07/08/2020 12:00:12.031
0.005771,+29.821,4.5028,07/08/2020 12:00:12.142
0.005806,+29.821,4.5028,07/08/2020 12:00:12.239
0.006057,+29.821,4.5063,07/08/2020 12:00:12.334
0.005311,+29.820,4.5063,07/08/2020 12:00:12.431
0.006043,+29.820,4.5063,07/08/2020 12:00:12.542
