Ozone,Temperature,Flowrate,TimeStamp
0.036453,+32.197,4.4641,30/07/2020 14:00:00.129
0.035190,+32.197,4.4641,30/07/2020 14:00:00.240
0.035948,+32.197,4.4641,30/07/2020 14:00:00.337
0.029505,+32.197,4.4563,30/07/2020 14:00:00.432
0.034536,+32.196,4.4563,30/07/2020 14:00:00.544
0.033284,+32.196,4.4563,30/07/2020 14:00:00.640
0.035559,+32.196,4.4580,30/07/2020 14:00:00.736
0.034796,+32.197,4.4580,30/07/2020 14:00:00.832
0.033175,+32.197,4.4580,30/07/2020 14:00:00.944
0.037321,+32.197,4.4525,30/07/2020 14:00:01.040
0.031942,+32.198,4.4525,30/07/2020 14:00:01.136
0.034892,+32.198,4.4525,30/07/2020 14:00:01.233
0.033718,+32.198,4.4563,30/07/2020 14:00:01.329
0.033595,+32.197,4.4563,30/07/2020 14:00:01.441
0.037307,+32.197,4.4563,30/07/2020 14:00:01.536
0.034220,+32.197,4.4549,30/07/2020 14:00:01.632
0.034959,+32.198,4.4549,30/07/2020 14:00:01.744
0.030205,+32.198,4.4549,30/07/2020 14:00:01.840
0.030358,+32.198,4.4640,30/07/2020 14:00:01.936
0.036507,+32.198,4.4640,30/07/2020 14:00:02.032
0.033946,+32.198,4.4640,30/07/2020 14:00:02.144
0.034675,+32.198,4.4642,30/07/2020 14:00:02.239
0.032077,+32.197,4.4642,30/07/2020 14:00:02.336
0.037104,+32.197,4.4642,30/07/2020 14:00:02.432
0.031959,+32.197,4.4540,30/07/2020 14:00:02.544
0.038528,+32.198,4.4540,30/07/2020 14:00:02.640
0.035405,+32.198,4.4540,30/07/2020 14:00:02.736
0.033391,+32.198,4.4517,30/07/2020 14:00:02.833
0.039390,+32.197,4.4517,30/07/2020 14:00:02.944
0.037699,+32.197,4.4517,30/07/2020 14:00:03.040
0.035813,+32.197,4.4507,30/07/2020 14:00:03.136
0.035288,+32.196,4.4507,30/07/2020 14:00:03.231
0.034116,+32.196,4.4507,30/07/2020 14:00:03.343
0.036570,+32.196,4.4551,30/07/2020 14:00:03.440
0.033912,+32.199,4.4551,30/07/2020 14:00:03.536
0.033725,+32.199,4.4551,30/07/2020 14:00:03.631
0.031985,+32.199,4.4667,30/07/2020 14:00:03.744
0.034346,+32.197,4.4667,30/07/2020 14:00:03.840
0.031889,+32.197,4.4667,30/07/2020 14:00:03.935
0.032424,+32.197,4.4586,30/07/2020 14:00:04.031
0.036334,+32.198,4.4586,30/07/2020 14:00:04.144
0.036571,+32.198,4.4586,30/07/2020 14:00:04.240
0.038513,+32.198,4.4514,30/07/2020 14:00:04.336
0.034301,+32.198,4.4514,30/07/2020 14:00:04.432
0.035186,+32.198,4.4514,30/07/2020 14:00:04.544
0.037216,+32.198,4.4528,30/07/2020 14:00:04.640
0.033165,+32.198,4.4528,30/07/2020 14:00:04.736
0.032684,+32.198,4.4528,30/07/2020 14:00:04.832
0.036079,+32.198,4.4543,30/07/2020 14:00:04.944
0.031779,+32.197,4.4543,30/07/2020 14:00:05.039
0.033790,+32.197,4.4543,30/07/2020 14:00:05.136
0.033399,+32.197,4.4582,30/07/2020 14:00:05.232
0.036253,+32.198,4.4582,30/07/2020 14:00:05.347
0.036167,+32.198,4.4582,30/07/2020 14:00:05.439
0.037276,+32.198,4.4565,30/07/2020 14:00:05.535
0.035306,+32.198,4.4565,30/07/2020 14:00:05.632
0.033552,+32.198,4.4565,30/07/2020 14:00:05.743
0.031133,+32.198,4.4587,30/07/2020 14:00:05.840
0.034655,+32.199,4.4587,30/07/2020 14:00:05.935
0.035669,+32.199,4.4587,30/07/2020 14:00:06.032
0.032613,+32.199,4.4519,30/07/2020 14:00:06.143
0.037253,+32.199,4.4519,30/07/2020 14:00:06.239
0.033201,+32.199,4.4519,30/07/2020 14:00:06.335
0.038187,+32.199,4.4483,30/07/2020 14:00:06.431
0.034802,+32.197,4.4483,30/07/2020 14:00:06.543
0.033456,+32.197,4.4483,30/07/2020 14:00:06.639
0.033890,+32.197,4.4485,30/07/2020 14:00:06.736
0.032706,+32.199,4.4485,30/07/2020 14:00:06.832
0.034938,+32.199,4.4485,30/07/2020 14:00:06.943
0.035075,+32.199,4.4551,30/07/2020 14:00:07.039
0.034173,+32.198,4.4551,30/07/2020 14:00:07.135
0.037408,+32.198,4.4551,30/07/2020 14:00:07.247
0.034845,+32.198,4.4562,30/07/2020 14:00:07.343
0.036928,+32.197,4.4562,30/07/2020 14:00:07.439
0.033970,+32.197,4.4562,30/07/2020 14:00:07.535
0.032127,+32.197,4.4640,30/07/2020 14:00:07.631
0.034520,+32.199,4.4640,30/07/2020 14:00:07.743
0.031535,+32.199,4.4640,30/07/2020 14:00:07.839
0.033301,+32.199,4.4527,30/07/2020 14:00:07.935
0.032115,+32.198,4.4527,30/07/2020 14:00:08.047
0.035742,+32.198,4.4527,30/07/2020 14:00:08.143
0.035991,+32.198,4.4530,30/07/2020 14:00:08.239
0.034251,+32.198,4.4530,30/07/2020 14:00:08.335
0.035120,+32.198,4.4530,30/07/2020 14:00:08.447
0.036417,+32.198,4.4521,30/07/2020 14:00:08.544
0.034948,+32.198,4.4521,30/07/2020 14:00:08.639
0.032624,+32.198,4.4521,30/07/2020 14:00:08.735
0.033010,+32.198,4.4587,30/07/2020 14:00:08.831
0.031131,+32.199,4.4587,30/07/2020 14:00:08.943
