Ozone,Temperature,Flowrate,TimeStamp
0.043491,+31.326,4.4707,30/07/2020 12:30:00.123
0.040900,+31.326,4.4707,30/07/2020 12:30:00.218
0.044597,+31.326,4.4781,30/07/2020 12:30:00.314
0.044334,+31.327,4.4781,30/07/2020 12:30:00.411
0.042154,+31.327,4.4781,30/07/2020 12:30:00.523
0.045540,+31.327,4.4763,30/07/2020 12:30:00.619
0.043193,+31.325,4.4763,30/07/2020 12:30:00.715
0.044082,+31.325,4.4763,30/07/2020 12:30:00.811
0.040332,+31.325,4.4652,30/07/2020 12:30:00.923
0.045048,+31.327,4.4652,30/07/2020 12:30:01.019
0.043243,+31.327,4.4652,30/07/2020 12:30:01.114
0.043626,+31.327,4.4666,30/07/2020 12:30:01.211
0.044250,+31.326,4.4666,30/07/2020 12:30:01.322
0.042097,+31.326,4.4666,30/07/2020 12:30:01.418
0.042483,+31.326,4.4665,30/07/2020 12:30:01.515
0.046255,+31.326,4.4665,30/07/2020 12:30:01.611
0.042387,+31.326,4.4665,30/07/2020 12:30:01.723
0.037654,+31.326,4.4691,30/07/2020 12:30:01.819
0.044377,+31.326,4.4691,30/07/2020 12:30:01.915
0.046982,+31.326,4.4691,30/07/2020 12:30:02.027
0.045711,+31.326,4.4718,30/07/2020 12:30:02.123
0.042770,+31.326,4.4718,30/07/2020 12:30:02.219
0.044098,+31.326,4.4718,30/07/2020 12:30:02.315
0.045068,+31.326,4.4786,30/07/2020 12:30:02.411
0.043781,+31.326,4.4786,30/07/2020 12:30:02.523
0.045077,+31.326,4.4786,30/07/2020 12:30:02.619
0.039780,+31.326,4.4673,30/07/2020 12:30:02.715
0.044236,+31.326,4.4673,30/07/2020 12:30:02.811
0.048137,+31.326,4.4673,30/07/2020 12:30:02.923
0.046564,+31.326,4.4648,30/07/2020 12:30:03.019
0.043759,+31.326,4.4648,30/07/2020 12:30:03.115
0.041008,+31.326,4.4648,30/07/2020 12:30:03.227
0.046046,+31.326,4.4652,30/07/2020 12:30:03.322
0.043232,+31.327,4.4652,30/07/2020 12:30:03.418
0.041341,+31.327,4.4652,30/07/2020 12:30:03.515
0.043355,+31.327,4.4657,30/07/2020 12:30:03.611
0.046811,+31.327,4.4657,30/07/2020 12:30:03.722
0.043693,+31.327,4.4657,30/07/2020 12:30:03.818
0.044249,+31.327,4.4773,30/07/2020 12:30:03.915
0.043302,+31.326,4.4773,30/07/2020 12:30:04.026
0.043445,+31.326,4.4773,30/07/2020 12:30:04.122
0.046443,+31.326,4.4753,30/07/2020 12:30:04.219
0.044353,+31.326,4.4753,30/07/2020 12:30:04.315
0.042953,+31.326,4.4753,30/07/2020 12:30:04.426
0.045981,+31.326,4.4761,30/07/2020 12:30:04.522
0.048186,+31.328,4.4761,30/07/2020 12:30:04.618
0.043849,+31.328,4.4761,30/07/2020 12:30:04.715
0.041664,+31.328,4.4725,30/07/2020 12:30:04.826
0.042225,+31.327,4.4725,30/07/2020 12:30:04.922
0.047066,+31.327,4.4725,30/07/2020 12:30:05.018
0.040904,+31.327,4.4590,30/07/2020 12:30:05.115
0.044911,+31.327,4.4590,30/07/2020 12:30:05.226
0.043645,+31.327,4.4590,30/07/2020 12:30:05.322
0.042124,+31.327,4.4713,30/07/2020 12:30:05.418
0.042191,+31.326,4.4713,30/07/2020 12:30:05.515
0.046136,+31.326,4.4713,30/07/2020 12:30:05.626
0.041856,+31.326,4.4777,30/07/2020 12:30:05.722
0.042608,+31.326,4.4777,30/07/2020 12:30:05.818
0.041303,+31.326,4.4777,30/07/2020 12:30:05.914
0.043690,+31.326,4.4786,30/07/2020 12:30:06.025
0.040365,+31.326,4.4786,30/07/2020 12:30:06.122
0.045134,+31.326,4.4786,30/07/2020 12:30:06.218
0.043066,+31.326,4.4758,30/07/2020 12:30:06.315
0.044717,+31.326,4.4758,30/07/2020 12:30:06.426
0.047380,+31.326,4.4758,30/07/2020 12:30:06.522
0.043282,+31.326,4.4671,30/07/2020 12:30:06.618
0.040355,+31.327,4.4671,30/07/2020 12:30:06.715
0.037281,+31.327,4.4671,30/07/2020 12:30:06.826
0.047430,+31.327,4.4633,30/07/2020 12:30:06.922
0.042247,+31.326,4.4633,30/07/2020 12:30:07.018
0.044775,+31.326,4.4633,30/07/2020 12:30:07.114
0.041487,+31.326,4.4665,30/07/2020 12:30:07.226
0.045930,+31.326,4.4665,30/07/2020 12:30:07.322
0.040241,+31.326,4.4665,30/07/2020 12:30:07.418
0.045024,+31.326,4.4727,30/07/2020 12:30:07.514
0.044313,+31.327,4.4727,30/07/2020 12:30:07.626
0.045648,+31.327,4.4727,30/07/2020 12:30:07.722
0.045842,+31.327,4.4742,30/07/2020 12:30:07.818
0.043768,+31.325,4.4742,30/07/2020 12:30:07.913
0.042195,+31.325,4.4742,30/07/2020 12:30:08.026
0.041883,+31.325,4.4723,30/07/2020 12:30:08.122
0.044773,+31.326,4.4723,30/07/2020 12:30:08.218
0.047170,+31.326,4.4723,30/07/2020 12:30:08.314
0.044273,+31.326,4.4722,30/07/2020 12:30:08.426
0.044251,+31.327,4.4722,30/07/2020 12:30:08.521
0.047305,+31.327,4.4722,30/07/2020 12:30:08.617
0.044550,+31.327,4.4669,30/07/2020 12:30:08.714
0.041522,+31.327,4.4669,30/07/2020 12:30:08.825
0.047884,+31.327,4.4669,30/07/2020 12:30:08.921
0.045798,+31.327,4.4670,30/07/2020 12:30:09.017
0.044685,+31.328,4.4670,30/07/2020 12:30:09.113
0.044226,+31.328,4.4670,30/07/2020 12:30:09.225
0.046844,+31.328,4.4645,30/07/2020 12:30:09.321
0.044273,+31.326,4.4645,30/07/2020 12:30:09.417
0.046446,+31.326,4.4645,30/07/2020 12:30:09.529
0.044002,+31.326,4.4722,30/07/2020 12:30:09.625
0.043946,+31.328,4.4722,30/07/2020 12:30:09.721
0.043024,+31.328,4.4722,30/07/2020 12:30:09.817
0.042276,+31.328,4.4718,30/07/2020 12:30:09.914
0.050938,+31.327,4.4718,30/07/2020 12:30:10.026
0.042846,+31.327,4.4718,30/07/2020 12:30:10.121
0.040632,+31.327,4.4732,30/07/2020 12:30:10.217
0.047356,+31.326,4.4732,30/07/2020 12:30:10.313
0.043402,+31.326,4.4732,30/07/2020 12:30:10.425
0.039225,+31.326,4.4678,30/07/2020 12:30:10.521
0.044546,+31.327,4.4678,30/07/2020 12:30:10.617
0.046700,+31.327,4.4678,30/07/2020 12:30:10.729
0.047409,+31.327,4.4692,30/07/2020 12:30:10.825
0.044711,+31.327,4.4692,30/07/2020 12:30:10.921
0.044207,+31.327,4.4692,30/07/2020 12:30:11.017
0.042415,+31.327,4.4668,30/07/2020 12:30:11.113
0.043564,+31.327,4.4668,30/07/2020 12:30:11.225
0.042450,+31.327,4.4668,30/07/2020 12:30:11.321
0.042474,+31.327,4.4742,30/07/2020 12:30:11.417
0.039073,+31.327,4.4742,30/07/2020 12:30:11.529
0.043305,+31.327,4.4742,30/07/2020 12:30:11.625
0.047637,+31.327,4.4746,30/07/2020 12:30:11.722
0.042583,+31.326,4.4746,30/07/2020 12:30:11.817
0.041834,+31.326,4.4746,30/07/2020 12:30:11.929
0.043358,+31.326,4.4789,30/07/2020 12:30:12.025
0.046333,+31.328,4.4789,30/07/2020 12:30:12.124
0.045831,+31.328,4.4789,30/07/2020 12:30:12.217
0.039934,+31.328,4.4749,30/07/2020 12:30:12.329
0.044060,+31.327,4.4749,30/07/2020 12:30:12.426
0.040675,+31.327,4.4749,30/07/2020 12:30:12.521
0.042948,+31.327,4.4658,30/07/2020 12:30:12.617
0.043142,+31.327,4.4658,30/07/2020 12:30:12.729
0.042741,+31.327,4.4658,30/07/2020 12:30:12.825
0.041425,+31.327,4.4625,30/07/2020 12:30:12.920
0.043782,+31.327,4.4625,30/07/2020 12:30:13.017
0.041776,+31.327,4.4625,30/07/2020 12:30:13.129
0.041368,+31.327,4.4734,30/07/2020 12:30:13.225
0.045650,+31.327,4.4734,30/07/2020 12:30:13.321
0.044632,+31.327,4.4734,30/07/2020 12:30:13.416
0.047699,+31.327,4.4761,30/07/2020 12:30:13.529
0.041234,+31.327,4.4761,30/07/2020 12:30:13.625
0.039094,+31.327,4.4761,30/07/2020 12:30:13.721
0.041544,+31.327,4.4767,30/07/2020 12:30:13.817
0.041777,+31.327,4.4767,30/07/2020 12:30:13.928
0.042227,+31.327,4.4767,30/07/2020 12:30:14.025
0.042284,+31.327,4.4709,30/07/2020 12:30:14.120
0.040735,+31.327,4.4709,30/07/2020 12:30:14.217
0.048430,+31.327,4.4709,30/07/2020 12:30:14.328
0.041920,+31.327,4.4678,30/07/2020 12:30:14.424
0.046975,+31.327,4.4678,30/07/2020 12:30:14.521
0.044450,+31.327,4.4678,30/07/2020 12:30:14.616
0.043062,+31.327,4.4640,30/07/2020 12:30:14.728
0.042422,+31.327,4.4640,30/07/2020 12:30:14.824
0.044731,+31.327,4.4640,30/07/2020 12:30:14.920
0.043221,+31.327,4.4702,30/07/2020 12:30:15.017
0.041408,+31.328,4.4702,30/07/2020 12:30:15.128
0.045035,+31.328,4.4702,30/07/2020 12:30:15.224
0.047136,+31.328,4.4696,30/07/2020 12:30:15.322
0.046414,+31.327,4.4696,30/07/2020 12:30:15.416
0.040630,+31.327,4.4696,30/07/2020 12:30:15.528
0.048805,+31.327,4.4815,30/07/2020 12:30:15.624
0.042375,+31.328,4.4815,30/07/2020 12:30:15.720
0.044892,+31.328,4.4815,30/07/2020 12:30:15.816
0.047370,+31.328,4.4740,30/07/2020 12:30:15.928
0.041013,+31.328,4.4740,30/07/2020 12:30:16.024
0.041725,+31.328,4.4740,30/07/2020 12:30:16.120
0.043378,+31.328,4.4723,30/07/2020 12:30:16.217
0.046976,+31.327,4.4723,30/07/2020 12:30:16.328
0.040590,+31.327,4.4723,30/07/2020 12:30:16.424
0.044240,+31.327,4.4700,30/07/2020 12:30:16.520
0.043003,+31.327,4.4700,30/07/2020 12:30:16.616
0.044983,+31.327,4.4700,30/07/2020 12:30:16.728
0.041457,+31.327,4.4623,30/07/2020 12:30:16.824
0.044091,+31.328,4.4623,30/07/2020 12:30:16.920
0.043683,+31.328,4.4623,30/07/2020 12:30:17.032
0.041672,+31.328,4.4689,30/07/2020 12:30:17.128
0.038810,+31.329,4.4689,30/07/2020 12:30:17.224
0.046020,+31.329,4.4689,30/07/2020 12:30:17.320
0.041810,+31.329,4.4684,30/07/2020 12:30:17.415
0.044117,+31.329,4.4684,30/07/2020 12:30:17.528
0.046811,+31.329,4.4684,30/07/2020 12:30:17.623
0.045872,+31.329,4.4792,30/07/2020 12:30:17.720
0.041003,+31.328,4.4792,30/07/2020 12:30:17.832
0.045847,+31.328,4.4792,30/07/2020 12:30:17.927
0.043563,+31.328,4.4700,30/07/2020 12:30:18.024
0.044650,+31.328,4.4700,30/07/2020 12:30:18.121
0.042522,+31.328,4.4700,30/07/2020 12:30:18.232
0.043883,+31.328,4.4705,30/07/2020 12:30:18.328
0.048805,+31.328,4.4705,30/07/2020 12:30:18.423
0.043019,+31.328,4.4705,30/07/2020 12:30:18.520
0.047519,+31.328,4.4680,30/07/2020 12:30:18.616
0.044918,+31.327,4.4680,30/07/2020 12:30:18.727
0.045627,+31.327,4.4680,30/07/2020 12:30:18.824
0.044500,+31.327,4.4646,30/07/2020 12:30:18.920
0.048112,+31.326,4.4646,30/07/2020 12:30:19.031
0.044327,+31.326,4.4646,30/07/2020 12:30:19.128
0.045157,+31.326,4.4716,30/07/2020 12:30:19.224
0.045308,+31.327,4.4716,30/07/2020 12:30:19.320
0.049732,+31.327,4.4716,30/07/2020 12:30:19.431
0.049335,+31.327,4.4703,30/07/2020 12:30:19.532
0.043575,+31.329,4.4703,30/07/2020 12:30:19.623
0.042285,+31.329,4.4703,30/07/2020 12:30:19.720
0.043209,+31.329,4.4753,30/07/2020 12:30:19.831
0.045838,+31.328,4.4753,30/07/2020 12:30:19.927
0.044363,+31.328,4.4753,30/07/2020 12:30:20.023
0.047201,+31.328,4.4731,30/07/2020 12:30:20.120
0.047669,+31.328,4.4731,30/07/2020 12:30:20.231
0.046960,+31.328,4.4731,30/07/2020 12:30:20.327
0.043852,+31.328,4.4686,30/07/2020 12:30:20.423
0.041266,+31.328,4.4686,30/07/2020 12:30:20.520
0.044787,+31.328,4.4686,30/07/2020 12:30:20.631
0.049667,+31.328,4.4660,30/07/2020 12:30:20.727
0.049792,+31.328,4.4660,30/07/2020 12:30:20.824
0.049234,+31.328,4.4660,30/07/2020 12:30:20.919
0.048043,+31.328,4.4698,30/07/2020 12:30:21.031
0.043020,+31.328,4.4698,30/07/2020 12:30:21.127
