Ozone,Temperature,Flowrate,TimeStamp
0.030385,+30.288,4.5010,07/08/2020 11:00:00.283
0.035690,+30.288,4.5010,07/08/2020 11:00:00.379
0.032491,+30.288,4.5010,07/08/2020 11:00:00.492
0.033188,+30.288,4.5045,07/08/2020 11:00:00.588
0.033177,+30.289,4.5045,07/08/2020 11:00:01.181
0.034849,+30.289,4.5045,07/08/2020 11:00:01.187
0.032648,+30.289,4.5119,07/08/2020 11:00:01.189
0.036875,+30.288,4.5119,07/08/2020 11:00:01.191
0.034258,+30.288,4.5119,07/08/2020 11:00:01.276
0.031419,+30.288,4.4989,07/08/2020 11:00:01.291
0.030832,+30.288,4.4989,07/08/2020 11:00:01.372
0.030730,+30.288,4.4989,07/08/2020 11:00:01.388
0.032798,+30.288,4.4986,07/08/2020 11:00:01.484
0.033052,+30.289,4.4986,07/08/2020 11:00:01.579
0.033974,+30.289,4.4986,07/08/2020 11:00:01.692
0.030178,+30.289,4.4892,07/08/2020 11:00:01.788
0.031634,+30.289,4.4892,07/08/2020 11:00:01.884
0.031650,+30.289,4.4892,07/08/2020 11:00:01.979
0.033067,+30.289,4.4882,07/08/2020 11:00:02.091
0.036154,+30.289,4.4882,07/08/2020 11:00:02.188
0.031708,+30.289,4.4882,07/08/2020 11:00:02.283
0.035712,+30.289,4.4992,07/08/2020 11:00:02.379
0.035066,+30.289,4.4992,07/08/2020 11:00:02.491
0.036515,+30.289,4.4992,07/08/2020 11:00:02.589
0.036183,+30.289,4.4986,07/08/2020 11:00:02.683
0.034574,+30.288,4.4986,07/08/2020 11:00:02.779
0.034111,+30.288,4.4986,07/08/2020 11:00:02.891
0.032032,+30.288,4.5013,07/08/2020 11:00:02.987
0.032127,+30.289,4.5013,07/08/2020 11:00:03.085
0.035298,+30.289,4.5013,07/08/2020 11:00:03.179
0.031701,+30.289,4.5030,07/08/2020 11:00:03.291
0.040279,+30.289,4.5030,07/08/2020 11:00:03.387
0.033763,+30.289,4.5030,07/08/2020 11:00:03.483
0.031189,+30.289,4.5038,07/08/2020 11:00:03.579
0.035421,+30.288,4.5038,07/08/2020 11:00:03.691
0.035404,+30.288,4.5038,07/08/2020 11:00:03.787
0.036301,+30.288,4.5021,07/08/2020 11:00:03.883
0.035891,+30.288,4.5021,07/08/2020 11:00:03.979
0.034511,+30.288,4.5021,07/08/2020 11:00:04.091
0.034632,+30.288,4.4948,07/08/2020 11:00:04.187
0.037252,+30.289,4.4948,07/08/2020 11:00:04.283
0.037712,+30.289,4.4948,07/08/2020 11:00:04.394
0.031795,+30.289,4.4925,07/08/2020 11:00:04.491
0.038231,+30.289,4.4925,07/08/2020 11:00:04.587
0.037826,+30.289,4.4925,07/08/2020 11:00:04.683
0.033222,+30.289,4.4893,07/08/2020 11:00:04.779
0.033484,+30.290,4.4893,07/08/2020 11:00:04.891
0.032527,+30.290,4.4893,07/08/2020 11:00:04.987
0.034572,+30.290,4.4940,07/08/2020 11:00:05.083
0.033097,+30.289,4.4940,07/08/2020 11:00:05.179
0.032362,+30.289,4.4940,07/08/2020 11:00:05.291
0.032275,+30.289,4.4980,07/08/2020 11:00:05.387
0.036583,+30.289,4.4980,07/08/2020 11:00:05.483
0.034692,+30.289,4.4980,07/08/2020 11:00:05.595
0.034025,+30.289,4.5040,07/08/2020 11:00:05.690
0.030771,+30.289,4.5040,07/08/2020 11:00:05.787
0.031856,+30.289,4.5040,07/08/2020 11:00:05.883
0.034333,+30.289,4.5022,07/08/2020 11:00:05.979
0.030521,+30.289,4.5022,07/08/2020 11:00:06.091
0.033212,+30.289,4.5022,07/08/2020 11:00:06.187
0.029965,+30.289,4.5004,07/08/2020 11:00:06.283
0.033094,+30.288,4.5004,07/08/2020 11:00:06.395
0.029446,+30.288,4.5004,07/08/2020 11:00:06.491
0.032215,+30.288,4.4925,07/08/2020 11:00:06.587
0.033382,+30.289,4.4925,07/08/2020 11:00:06.683
0.033472,+30.289,4.4925,07/08/2020 11:00:06.794
0.035495,+30.289,4.4943,07/08/2020 11:00:06.891
0.029515,+30.289,4.4943,07/08/2020 11:00:06.986
0.030134,+30.289,4.4943,07/08/2020 11:00:07.082
0.035056,+30.289,4.4947,07/08/2020 11:00:07.179
0.030532,+30.289,4.4947,07/08/2020 11:00:07.291
0.031171,+30.289,4.4947,07/08/2020 11:00:07.387
0.034475,+30.289,4.4895,07/08/2020 11:00:07.483
0.036067,+30.289,4.4895,07/08/2020 11:00:07.594
0.033538,+30.289,4.4895,07/08/2020 11:00:07.690
0.033681,+30.289,4.4986,07/08/2020 11:00:07.786
0.033484,+30.288,4.4986,07/08/2020 11:00:07.882
0.035813,+30.288,4.4986,07/08/2020 11:00:07.994
0.032429,+30.288,4.5039,07/08/2020 11:00:08.090
0.037429,+30.289,4.5039,07/08/2020 11:00:08.187
0.031763,+30.289,4.5039,07/08/2020 11:00:08.282
0.030372,+30.289,4.5007,07/08/2020 11:00:08.394
0.031101,+30.289,4.5007,07/08/2020 11:00:08.490
0.037129,+30.289,4.5007,07/08/2020 11:00:08.586
0.036699,+30.289,4.4996,07/08/2020 11:00:08.682
0.032212,+30.289,4.4996,07/08/2020 11:00:08.794
0.034869,+30.289,4.4996,07/08/2020 11:00:08.891
0.030522,+30.289,4.4948,07/08/2020 11:00:08.986
